"Номер";"Наименование водного объекта";"Азот нитритный";"Азот аммонийный";"Азот нитратный";"Фенол";"Нефтепродукты";"Органические вещества (по ХПК)";"Железо";"Медь";"Цинк";"Марганец";"БПК5";"Период наблюдений";"Дата модификации"
"50";"р. Тура, выше г. Тюмени, ПДК";"в пределах нормы";"2,1";"в пределах нормы";"2,0";"5,4";"-";" ";" ";" ";" ";" ";"20.06.2015";"14.07.2015 09:07:35"
"51";"р. Тура, ниже г. Тюмени, ПДК";"1,1";"2,2";"в пределах нормы";"в пределах нормы";"5,0";"-";" ";" ";" ";" ";" ";"20.06.2015";"14.07.2015 09:11:05"
"52";"р. Тура, в створе с. Покровское, ПДК";"1,6";"1,9";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.06.2015";"14.07.2015 09:10:43"
"53";"р. Ишим, в створе с. Ильинское, ПДК";"2,1";"в пределах нормы";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.06.2015";"14.07.2015 09:29:20"
"54";"р. Ишим, выше г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.06.2015";"14.07.2015 09:31:49"
"55";"р. Ишим, ниже г. Ишима, ПДК";"1,9";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.06.2015";"14.07.2015 09:32:53"
"56";"р. Ишим, в створе с. Абатское, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.06.2015";"14.07.2015 09:38:00"
"57";"р. Тобол, в створе с. Коркино, ПДК";"в пределах нормы";"1,6";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.06.2015";"14.07.2015 09:38:57"
"58";"р. Тобол, выше г. Ялуторовска, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"3,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.06.2015";"14.07.2015 09:39:50"
"59";"р. Тобол, ниже г. Ялуторовска, ПДК";"в пределах нормы";"1,1";"в пределах нормы";"3,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.06.2015";"14.07.2015 10:50:53"
"60";"р. Тобол, в створе с. Иевлево, ПДК";"в пределах нормы";"1,6";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.06.2015";"14.07.2015 10:51:54"
"61";"р. Тура, в створе с. Салаирка, ПДК";"1,7";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.07.2015";"11.08.2015 11:13:33"
"62";"р. Тура, выше г. Тюмени, ПДК";"в пределах нормы";"2,3";"в пределах нормы";"2";"1,8";"-";" ";" ";" ";" ";" ";"20.07.2015";"11.08.2015 11:14:32"
"63";"р. Тура, ниже г. Тюмени, ПДК";"в пределах нормы";"2,3";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.07.2015";"11.08.2015 11:15:41"
"64";"р. Тура, в створе с. Покровское, ПДК";"в пределах нормы";"1,5";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.07.2015";"11.08.2015 11:16:35"
"65";"р. Ишим, в створе с. Ильинское, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.07.2015";"11.08.2015 11:18:21"
"66";"р. Ишим, выше г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.07.2015";"11.08.2015 11:18:57"
"67";"р. Ишим, ниже г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.07.2015";"11.08.2015 11:19:40"
"68";"р. Ишим, в створе с. Абатское, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.07.2015";"11.08.2015 11:20:25"
"69";"р. Тобол, в створе с. Коркино, ПДК";"в пределах нормы";"1,6";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.07.2015";"11.08.2015 12:30:34"
"70";"р. Тобол, выше г. Ялуторовска, ПДК";"в пределах нормы";"1,9";"в пределах нормы";"в пределах нормы";"64,6";"-";" ";" ";" ";" ";" ";"20.07.2015";"16.12.2020 11:33:43"
"71";"р. Тобол, ниже г. Ялуторовска, ПДК";"в пределах нормы";"2,1";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.07.2015";"11.08.2015 12:32:24"
"72";"р. Тобол, в створе с. Иевлево, ПДК";"в пределах нормы";"2,1";"в пределах нормы";"2";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.07.2015";"11.08.2015 12:33:11"
"73";"р. Тура, в створе с. Салаирка, ПДК";"в пределах нормы";"2,3";"в пределах нормы";"3,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.08.2015";"11.09.2015 09:50:45"
"74";"р. Тура, выше г. Тюмени, ПДК";"в пределах нормы";"1,8";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.08.2015";"11.09.2015 09:51:39"
"75";"р. Тура, ниже г. Тюмени, ПДК";"в пределах нормы";"2,4";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.08.2015";"11.09.2015 09:52:32"
"76";"р. Тура, в створе с. Покровское, ПДК";"в пределах нормы";"2,5";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.08.2015";"11.09.2015 09:56:50"
"77";"р. Ишим, в створе с. Ильинское, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.08.2015";"11.09.2015 10:27:49"
"78";"р. Ишим, выше г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.08.2015";"11.09.2015 10:28:54"
"79";"р. Ишим, ниже г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.08.2015";"11.09.2015 10:29:06"
"80";"р. Ишим, в створе с. Абатское, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.08.2015";"11.09.2015 10:30:53"
"81";"р. Тобол, в створе с. Коркино, ПДК";"1,9";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.08.2015";"11.09.2015 10:32:21"
"82";"р. Тобол, выше г. Ялуторовска, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.08.2015";"11.09.2015 10:33:00"
"83";"р. Тобол, ниже г. Ялуторовска, ПДК";"в пределах нормы";"1,4";"в пределах нормы";"в пределах нормы";"48,2";"-";" ";" ";" ";" ";" ";"20.08.2015";"11.09.2015 10:33:43"
"84";"р. Тобол, в створе с. Иевлево, ПДК";"в пределах нормы";"3,8";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.08.2015";"11.09.2015 10:34:45"
"85";"р. Тура, в створе с. Салаирка, ПДК";"5,0";"1,73";"в пределах нормы";"1,0";"5,6";"-";" ";" ";" ";" ";" ";"20.09.2015";"20.10.2015 13:59:49"
"86";"р. Тура, выше г. Тюмени, ПДК";"в пределах нормы";"2,65";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.09.2015";"20.10.2015 14:01:21"
"87";"р. Тура, ниже г. Тюмени, ПДК";"в пределах нормы";"2,65";"в пределах нормы";"1,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.09.2015";"20.10.2015 14:02:16"
"88";"р. Ишим, в створе с. Ильинское, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.09.2015";"20.10.2015 14:03:10"
"89";"р. Ишим, выше г. Ишима, ПДК";"в пределах нормы";"1,0";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.09.2015";"20.10.2015 14:03:49"
"90";"р. Ишим, ниже г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.09.2015";"20.10.2015 14:04:51"
"91";"р. Тобол, в створе с. Коркино, ПДК";"1,9";"в пределах нормы";"в пределах нормы";"в пределах нормы";"5,2";"-";" ";" ";" ";" ";" ";"20.09.2015";"20.10.2015 14:07:11"
"92";"р. Тобол, выше г. Ялуторовска, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"1,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.09.2015";"20.10.2015 14:07:43"
"93";"р. Тобол, ниже г. Ялуторовска, ПДК";"в пределах нормы";"1,4";"в пределах нормы";"в пределах нормы";"48,2";"-";" ";" ";" ";" ";" ";"20.08.2015";"16.12.2020 11:34:21"
"94";"р. Тобол, ниже г. Ялуторовска, ПДК";"2,1";"в пределах нормы";"в пределах нормы";"в пределах нормы";"11,8";"-";" ";" ";" ";" ";" ";"20.09.2015";"20.10.2015 14:08:37"
"95";"р. Тура, в створе с. Салаирка, ПДК";"в пределах нормы";"1,5";"в пределах нормы";"в пределах нормы";"1,4";"-";" ";" ";" ";"30,53";" ";"20.10.2015";"16.12.2020 12:18:56"
"96";"р. Тура, выше г. Тюмени, ПДК";"в пределах нормы";"3,7";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.10.2015";"10.11.2015 15:31:38"
"97";"р. Тура, ниже г. Тюмени, ПДК";"в пределах нормы";"1,3";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.10.2015";"10.11.2015 15:32:13"
"98";"р. Ишим, в створе с. Ильинское, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.10.2015";"10.11.2015 15:32:43"
"99";"р. Ишим, выше г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.10.2015";"10.11.2015 15:33:17"
"100";"р. Ишим, ниже г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.10.2015";"10.11.2015 15:33:55"
"101";"р. Ишим, в створе с. Абатское, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.10.2015";"10.11.2015 15:34:37"
"102";"р. Тобол, в створе с. Коркино, ПДК";"2,3";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.10.2015";"10.11.2015 15:35:58"
"103";"р. Тобол, выше г. Ялуторовска, ПДК";"4,0";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.10.2015";"10.11.2015 15:36:33"
"104";"р. Тобол, ниже г. Ялуторовска, ПДК";"в пределах нормы";"1,6";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.10.2015";"10.11.2015 15:37:15"
"105";"р. Тобол, в створе с. Иевлево, ПДК";"в пределах нормы";"1,9";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.10.2015";"10.11.2015 15:38:40"
"106";"р. Тура, в створе с. Салаирка, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"3,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.11.2015";"10.12.2015 16:00:48"
"107";"р. Тура, выше г. Тюмени, ПДК";"в пределах нормы";"1,9";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.11.2015";"10.12.2015 16:15:11"
"108";"р. Тура, ниже г. Тюмени, ПДК";"в пределах нормы";"1,9";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.11.2015";"10.12.2015 16:16:06"
"109";"р. Ишим, в створе с. Ильинское, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.11.2015";"10.12.2015 16:17:14"
"110";"р. Ишим, выше г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.11.2015";"10.12.2015 16:18:19"
"111";"р. Ишим, ниже г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.11.2015";"10.12.2015 16:20:06"
"112";"р. Тобол, в створе с. Коркино, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.11.2015";"10.12.2015 16:20:46"
"113";"р. Тобол, выше г. Ялуторовска, ПДК";"1,3";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.11.2015";"10.12.2015 16:21:37"
"114";"р. Тобол, ниже г. Ялуторовска, ПДК";"2,0";"в пределах нормы";"в пределах нормы";"в пределах нормы";"46,6";"-";" ";" ";" ";" ";" ";"20.11.2015";"10.12.2015 16:23:34"
"115";"р. Тура, в створе с. Салаирка, ПДК";"в пределах нормы";"3,4";"в пределах нормы";"2,0";"2,2";"-";" ";" ";" ";"32,38";" ";"18.12.2015";"16.12.2020 13:00:47"
"116";"р. Тура, выше г. Тюмени, ПДК";"2,5";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"18.12.2015";"15.01.2016 13:32:41"
"117";"р. Тура, ниже г. Тюмени, ПДК";"2,4";"в пределах нормы";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"18.12.2015";"15.01.2016 13:33:05"
"118";"р. Ишим, в створе с. Ильинское, ПДК";"в пределах нормы";"1,4";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"18.12.2015";"15.01.2016 13:33:35"
"119";"р. Ишим, выше г. Ишима, ПДК";"в пределах нормы";"1,6";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"18.12.2015";"15.01.2016 13:34:01"
"120";"р. Ишим, ниже г. Ишима, ПДК";"1,9";"1,7";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"18.12.2015";"15.01.2016 13:34:35"
"121";"р. Тобол, в створе с. Коркино, ПДК";"1,2";"в пределах нормы";"в пределах нормы";"в пределах нормы";"1,2";"-";" ";" ";" ";" ";" ";"18.12.2015";"15.01.2016 13:35:11"
"122";"р. Тобол, выше г. Ялуторовска, ПДК";"2,9";"1,7";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"18.12.2015";"15.01.2016 13:35:58"
"123";"р. Тобол, ниже г. Ялуторовска, ПДК";"2,9";"1,5";"в пределах нормы";"2,0";"3,6";"-";" ";" ";" ";" ";" ";"18.12.2015";"15.01.2016 13:36:46"
"124";"р. Тура, в створе с. Салаирка, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"1,6";"-";" ";" ";" ";"38,61";" ";"19.02.2016";"16.12.2020 12:22:28"
"125";"р. Тура, выше г. Тюмени, ПДК";"1,7";"в пределах нормы";"в пределах нормы";"2,0";"1,8";"-";" ";" ";" ";"34,96";" ";"19.02.2016";"16.12.2020 12:22:48"
"126";"р. Тура, ниже г. Тюмени, ПДК";"2,7";"в пределах нормы";"в пределах нормы";"3,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"19.02.2016";"15.03.2016 16:41:03"
"127";"р. Ишим, в створе с. Ильинское, ПДК";"1,3";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"19.02.2016";"15.03.2016 16:41:32"
"128";"р. Ишим, выше г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"1,4";"-";" ";" ";" ";" ";" ";"19.02.2016";"15.03.2016 16:42:00"
"129";"р. Ишим, ниже г. Ишима, ПДК";"2,5";"в пределах нормы";"в пределах нормы";"в пределах нормы";"1,6";"-";" ";" ";" ";" ";" ";"19.02.2016";"15.03.2016 16:42:27"
